This is how the energy of a primary e- is divided between:
   xHII           heat     	Ly_alpha	   ion H          ion He         continuum
 0.000100	 0.308926	 0.458301	 0.020497	 0.000000	 0.212276
 0.000150	 0.357376	 0.4255385	 0.0181655	 0.000000	 0.198920
 0.000200	 0.409080	 0.391766	 0.018554	 0.000000	 0.180600
 0.000300	 0.497334	 0.335230	 0.013794	 0.000000	 0.153642
 0.000500	 0.6225755	 0.2519405	 0.008840	 0.000000	 0.116644
 0.001000	 0.767149	 0.155994	 0.004954	 0.000000	 0.071903
 0.001500	 0.836266	 0.109882	 0.003594	 0.000000	 0.050258
 0.002000	 0.866186	 0.0906815	 0.002526	 0.000000	 0.0406065
 0.003000	 0.906524	 0.063823	 0.001457	 0.000000	 0.028196
 0.005000	 0.9436815	 0.038506	 0.0008745	 0.000000	 0.016938
 0.010000	 0.9691325	 0.0207955	 0.000486	 0.000000	 0.009586
 0.015000	 0.979211	 0.013775	 0.0006805	 0.000000	 0.0063335
 0.020000	 0.983874	 0.010956	 0.000389	 0.000000	 0.004781
 0.030000	 0.990504	 0.006542	 0.000097	 0.000000	 0.002857
 0.050000	 0.993030	 0.004734	 0.000194	 0.000000	 0.002042
 0.100000	 0.996746	 0.002021	 0.000194	 0.000000	 0.001039
 0.150000	 0.9984455	 0.001011	 0.0000965	 0.000000	 0.000447
 0.200000	 0.998689	 0.000904	 0.000000	 0.000000	 0.000407
 0.300000	 0.998956	 0.000638	 0.000097	 0.000000	 0.000309
 0.500000	 0.9997085	 0.0002125	 0.000000	 0.000000	 0.000079
 0.700000	 0.9997085	 0.000213	 0.000000	 0.000000	 0.0000785
 0.800000	 0.999927	 0.000053	 0.000000	 0.000000	 0.000020
 0.900000	 1.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.950000	 0.999927	 0.000053	 0.000000	 0.000000	 0.000020
 0.990000	 1.000000	 0.000000	 0.000000	 0.000000	 0.000000
 1.000000	 1.000000	 0.000000	 0.000000	 0.000000	 0.000000
